2026-03-09 11:50:17 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting SUNPHARMA.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:17 | INFO     | __main__:scan_all_tickers:65 — [19/50] TITAN.NS
2026-03-09 11:50:17 | INFO     | src.intraday:predict_timeframe:357 — Predicting TITAN.NS [5min]...
2026-03-09 11:50:18 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting TITAN.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:18 | INFO     | src.intraday:predict_timeframe:357 — Predicting TITAN.NS [15min]...
2026-03-09 11:50:18 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting TITAN.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:18 | INFO     | src.intraday:predict_timeframe:357 — Predicting TITAN.NS [1hr]...
2026-03-09 11:50:18 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting TITAN.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:18 | INFO     | __main__:scan_all_tickers:65 — [20/50] ULTRACEMCO.NS
2026-03-09 11:50:18 | INFO     | src.intraday:predict_timeframe:357 — Predicting ULTRACEMCO.NS [5min]...
2026-03-09 11:50:19 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting ULTRACEMCO.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:19 | INFO     | src.intraday:predict_timeframe:357 — Predicting ULTRACEMCO.NS [15min]...
2026-03-09 11:50:19 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting ULTRACEMCO.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:19 | INFO     | src.intraday:predict_timeframe:357 — Predicting ULTRACEMCO.NS [1hr]...
2026-03-09 11:50:19 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting ULTRACEMCO.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:19 | INFO     | __main__:scan_all_tickers:65 — [21/50] NESTLEIND.NS
2026-03-09 11:50:19 | INFO     | src.intraday:predict_timeframe:357 — Predicting NESTLEIND.NS [5min]...
2026-03-09 11:50:20 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting NESTLEIND.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:20 | INFO     | src.intraday:predict_timeframe:357 — Predicting NESTLEIND.NS [15min]...
2026-03-09 11:50:20 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting NESTLEIND.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:20 | INFO     | src.intraday:predict_timeframe:357 — Predicting NESTLEIND.NS [1hr]...
2026-03-09 11:50:21 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting NESTLEIND.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:21 | INFO     | __main__:scan_all_tickers:65 — [22/50] POWERGRID.NS
2026-03-09 11:50:21 | INFO     | src.intraday:predict_timeframe:357 — Predicting POWERGRID.NS [5min]...
2026-03-09 11:50:21 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting POWERGRID.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:21 | INFO     | src.intraday:predict_timeframe:357 — Predicting POWERGRID.NS [15min]...
2026-03-09 11:50:21 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting POWERGRID.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:21 | INFO     | src.intraday:predict_timeframe:357 — Predicting POWERGRID.NS [1hr]...
2026-03-09 11:50:22 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting POWERGRID.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:22 | INFO     | __main__:scan_all_tickers:65 — [23/50] NTPC.NS
2026-03-09 11:50:22 | INFO     | src.intraday:predict_timeframe:357 — Predicting NTPC.NS [5min]...
2026-03-09 11:50:22 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting NTPC.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:22 | INFO     | src.intraday:predict_timeframe:357 — Predicting NTPC.NS [15min]...
